Country;Year;Petroleum_Products;LPG;Diesel;Natural_Gas;Electricity;Alternative_Energy;Other;Total
Belgium;2013;169665;NA;319863;109;501;841;231;491210
Belgium;2014;181524;NA;303953;263;1167;2234;804;489945
Belgium;2015;198299;5;305838;135;1360;2147;646;508430
Belgium;2016;256076;4;285653;790;2061;4413;1552;550549
Belgium;2017;288484;2;259790;741;2717;5418;1958;559110
Belgium;2018;347284;1;202272;950;3763;7931;2810;565011
Denmark;2013;122644;NA;57435;NA;NA;NA;NA;180079
Denmark;2014;127172;NA;59544;NA;NA;NA;NA;186716
Denmark;2015;137698;NA;64203;NA;NA;NA;NA;201901
Denmark;2016;140371;NA;80216;NA;NA;NA;NA;220587
Denmark;2017;142607;NA;77495;NA;NA;NA;NA;220102
Denmark;2018;141320;NA;72475;NA;NA;NA;NA;213795
Germany;2013;1502784;6257;1403113;7835;6051;46534;26391;2998965
Germany;2014;1533726;6234;1452565;8194;8522;50482;27532;3087255
Germany;2015;1611389;4716;1538451;5285;12363;56202;33838;3262244
Germany;2016;1746291;2990;1539596;3240;11410;65703;48063;3417293
Germany;2017;1986488;4400;1336776;3723;25056;117998;84819;3559260
Germany;2018;2142700;4663;1111130;10804;36062;181948;130419;3617726
Estonia;2013;12208;1;7345;6;130;137;0;19827
Estonia;2014;13054;0;7726;17;331;348;NA;21476
Estonia;2015;14069;0;6949;16;30;46;NA;21110
Estonia;2016;16592;0;6393;3;32;35;NA;23055
Estonia;2017;19177;0;6409;9;26;35;NA;25656
Estonia;2018;19686;0;6527;3;83;86;NA;26385
Ireland;2013;NA;NA;NA;NA;NA;NA;NA;0
Ireland;2014;21067;NA;61917;NA;194;1152;958;85288
Ireland;2015;35311;NA;92436;NA;494;2212;1718;132171
Ireland;2016;41160;NA;105257;NA;402;3346;2944;153109
Ireland;2017;40798;NA;87640;NA;631;5444;4813;139326
Ireland;2018;48840;NA;70732;NA;1252;8977;7725;137526
Spain;2013;NA;NA;NA;NA;NA;2088;NA;2088
Spain;2014;297176;1108;590360;127;1181;2589;167;892708
Spain;2015;394777;2337;694161;165;2634;5179;36;1099289
Spain;2016;509247;1445;715543;405;3414;5314;47;1235415
Spain;2017;648790;4079;680575;1310;7175;12646;80;1354655
Spain;2018;838217;18589;552588;4076;11209;33953;66;1458698
France;2013;562849;0;1182129;19;8781;11975;86;1765839
France;2014;623201;0;1129453;27;10567;13201;38;1776487
France;2015;777645;0;1089403;46;17269;19181;46;1903590
France;2016;928357;47;1032695;10;21758;23419;83;2006369
France;2017;1073148;46;979495;26;24910;26872;112;2104609
France;2018;1277064;1;827499;20;30945;34037;34;2169600
Croatia;2013;15245;166;31046;5;3;272;98;46835
Croatia;2014;16690;491;50861;13;47;971;420;69493
Croatia;2015;16311;NA;56807;NA;80;1063;466;74727
Croatia;2016;20490;2;74421;2;66;1544;501;97026
Croatia;2017;20875;NA;71385;1;55;1542;664;94522
Croatia;2018;40964;NA;97276;2;182;2404;1085;141913
Italy;2013;419045;115838;707641;67982;NA;184648;828;1495982
Italy;2014;NA;124092;NA;72387;NA;197582;1103;395164
Italy;2015;NA;NA;NA;NA;NA;185333;1467;186800
Italy;2016;NA;101619;NA;NA;NA;146790;1374;249783
Italy;2017;NA;128765;NA;32659;NA;163320;1896;326640
Italy;2018;NA;126778;NA;37416;NA;169133;4939;338266
Cyprus;2013;11758;0;2998;0;15;15;0;14786
Cyprus;2014;12142;0;5782;0;9;9;0;17942
Cyprus;2015;14786;0;6667;0;9;9;0;21471
Cyprus;2016;17590;0;10344;0;22;22;0;27978
Cyprus;2017;20532;0;15478;0;44;57;13;36124
Cyprus;2018;22546;0;18100;0;28;37;9;40720
Latvia;2013;14293;NA;41502;NA;NA;11;NA;55806
Latvia;2014;5759;0;7029;211;174;385;211;13769
Latvia;2015;7211;0;6923;140;17;157;140;14588
Latvia;2016;9381;77;7287;4;19;100;0;16868
Latvia;2017;9488;78;7446;11;41;130;0;17194
Latvia;2018;10240;56;6807;4;78;138;0;17323
Lithuania;2013;44919;3;110402;4;4;534;523;156389
Lithuania;2014;35029;21;100310;0;46;759;692;136857
Lithuania;2015;33550;11;97813;0;106;1036;919;133435
Lithuania;2016;36296;25;100495;0;202;3080;2853;142951
Lithuania;2017;47486;48;110328;0;283;3301;2970;164416
Lithuania;2018;55574;51;110072;0;344;3497;3102;172640
Hungary;2013;52677;1;72343;244;19;1917;857;128058
Hungary;2014;70185;3;91757;268;71;2478;1357;166119
Hungary;2015;92477;2;103928;153;181;3501;2173;202415
Hungary;2016;122444;1;110271;130;453;5940;4192;243431
Hungary;2017;148139;0;113161;135;1262;10420;7806;280923
Hungary;2018;175108;0;105595;96;1909;14728;11544;308980
Malta;2013;7800;NA;5267;NA;18;27;4;13116
Malta;2014;9614;1;5768;0;30;94;39;15546
Malta;2015;11395;0;5312;0;30;96;13;16846
Malta;2016;11176;0;5451;1;31;87;0;16746
Malta;2017;11766;1;6865;0;53;98;0;18783
Malta;2018;12528;1;6503;0;417;448;0;19897
Netherlands;2013;307912;2081;103557;530;NA;5248;2636;421964
Netherlands;2014;275420;998;105014;3223;NA;7135;2912;394702
Netherlands;2015;314898;362;129773;678;0;4256;3197;453164
Netherlands;2016;304645;860;72356;658;0;5514;3989;388022
Netherlands;2017;331609;1200;72267;1268;7958;10433;1;424736
Netherlands;2018;NA;NA;NA;NA;NA;NA;NA;0
Austria;2013;136689;NA;181061;455;654;1285;NA;320144
Austria;2014;128670;NA;172574;279;1281;2074;NA;304878
Austria;2015;125656;0;180510;167;1677;2389;0;310399
Austria;2016;136148;0;189139;119;3826;4317;0;333549
Austria;2017;171862;NA;175590;114;5433;5868;0;358867
Austria;2018;192503;0;141159;110;6757;7406;0;347935
Poland;2013;449741;68869;468097;266;793;69971;11;1057748
Poland;2014;502339;72048;470967;302;1909;74292;19;1121876
Poland;2015;571541;89117;481006;316;3496;92959;20;1238455
Poland;2016;718969;104515;530548;349;6847;111753;24;1473005
Poland;2017;719727;104376;500112;313;12179;116948;33;1453688
Poland;2018;NA;NA;NA;NA;NA;NA;NA;0
Portugal;2013;NA;NA;NA;NA;NA;NA;NA;0
Portugal;2014;NA;NA;NA;NA;NA;NA;NA;0
Portugal;2015;NA;NA;NA;NA;NA;NA;NA;0
Portugal;2016;NA;NA;NA;NA;NA;NA;NA;0
Portugal;2017;81072;1795;139241;7;1912;71896;68180;364103
Portugal;2018;97697;1894;124059;8;4458;83954;77594;389664
Romania;2013;25617;353;31481;1;247;602;1;58302
Romania;2014;29362;782;39774;3;254;1039;NA;71214
Romania;2015;35101;733;44861;1;479;1213;NA;82388
Romania;2016;44422;996;48591;3;1169;2168;NA;97349
Romania;2017;49664;897;53979;11;2321;3230;1;110103
Romania;2018;71873;1360;53239;NA;4449;5809;NA;136730
Slovenia;2013;23942;NA;28016;NA;NA;10;NA;51968
Slovenia;2014;23916;148;16645;47;13;321;113;41203
Slovenia;2015;29038;199;31031;40;123;599;237;61267
Slovenia;2016;31429;290;32589;9;151;881;431;65780
Slovenia;2017;38229;335;32410;43;297;1838;1163;74315
Slovenia;2018;48240;148;23877;13;521;2401;1719;76919
Finland;2013;64194;0;38697;21;50;2;2;102966
Finland;2014;64181;0;41404;37;183;650;0;106455
Finland;2015;69469;0;38844;18;243;506;0;109080
Finland;2016;79042;0;39556;38;223;402;0;119261
Finland;2017;81435;0;36216;65;502;936;0;119154
Finland;2018;89497;0;29071;182;776;1937;0;121463
Sweden;2013;108067;1;176485;1325;452;7610;3281;297221
Sweden;2014;126019;NA;188998;1602;1266;9013;2722;329620
Sweden;2015;145383;0;207091;886;2916;9434;1396;367106
Sweden;2016;177903;0;202383;499;2993;7711;888;392377
Sweden;2017;191048;0;192191;781;4359;9477;1133;398989
Sweden;2018;215360;0;138666;592;7147;11487;1043;374295
United Kingdom;2013;NA;NA;NA;NA;NA;NA;NA;0
United Kingdom;2014;NA;NA;NA;NA;NA;NA;NA;0
United Kingdom;2015;1334875;NA;1257152;13;10063;10119;10;2612232
United Kingdom;2016;1390355;NA;1264307;33;10544;10589;2;2675830
United Kingdom;2017;1446500;NA;1049086;3;13727;13744;3;2523063
United Kingdom;2018;1589618;NA;736172;1;15579;15715;3;2357088
Liechtenstein;2013;1041;0;858;4;14;21;0;1938
Liechtenstein;2014;979;0;800;1;18;21;0;1819
Liechtenstein;2015;1072;0;937;5;30;40;0;2084
Liechtenstein;2016;951;1;985;0;46;48;0;2031
Liechtenstein;2017;1116;0;849;1;57;59;0;2082
Liechtenstein;2018;1152;0;644;1;48;53;0;1898
Norway;2013;67701;NA;97464;NA;9970;10584;884;186603
Norway;2014;62997;NA;87738;NA;21153;21307;154;193349
Norway;2015;64686;NA;89499;NA;21997;22151;154;198487
Norway;2016;86537;NA;56095;5;28965;29001;8;200611
Norway;2017;95077;NA;46970;37;41583;41681;5;225353
Norway;2018;80512;0;35264;60;57990;58111;8;231945
Switzerland;2013;191300;0;116600;400;1400;2300;0;312000
Switzerland;2014;187000;0;113300;200;1900;3000;100;305500
Switzerland;2015;193200;0;129000;200;3900;5000;100;331400
Switzerland;2016;188600;0;125600;200;3500;4500;100;322500
Switzerland;2017;195200;0;114100;100;4900;5700;100;320100
Switzerland;2018;203400;0;91300;100;5400;6200;0;306400
Macedonia;2013;8868;220;22778;NA;NA;220;61;32147
Macedonia;2014;NA;NA;NA;NA;NA;NA;NA;0
Macedonia;2015;NA;NA;NA;NA;NA;NA;NA;0
Macedonia;2016;NA;NA;NA;NA;NA;NA;NA;0
Macedonia;2017;NA;NA;NA;NA;NA;NA;NA;0
Macedonia;2018;NA;NA;NA;NA;NA;NA;NA;0
Turkey;2013;256506;14312;383904;3;180;14495;NA;669400
Turkey;2014;210168;11339;364242;2;63;11404;NA;597218
Turkey;2015;270762;13288;462191;NA;154;13442;NA;759837
Turkey;2016;271453;13715;460829;NA;77;13792;NA;759866
Turkey;2017;259325;25391;457069;0;117;25508;0;767410
Turkey;2018;179131;26443;320452;3;206;26652;0;552887
Kosovo;2013;NA;NA;NA;NA;NA;NA;NA;0
Kosovo;2014;NA;NA;NA;NA;NA;NA;NA;0
Kosovo;2015;NA;NA;NA;NA;NA;NA;NA;0
Kosovo;2016;NA;NA;NA;NA;NA;NA;NA;0
Kosovo;2017;2928;0;16568;0;2;4;2;19504
Kosovo;2018;2126;0;7714;0;1;2;0;9843
