region;Time;Total;Petroleum products;Liquefied petroleum gases;Diesel;Natural Gas;Electricity;Alternative Energy;Petrol_excluding hybrids  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric;Diesel_excluding hybrids;Hybrid diesel-electric;Plug-in hybrid diesel-electric;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
Belgium;2012;5444000;1981000;NA;3401000;NA;NA;61000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Belgium;2013;5493472;2008893;NA;3438968;260;919;18859;1992418;16475;NA;3438030;938;NA;NA;128;NA;NA;17552
Belgium;2014;5555499;2051462;NA;3460094;498;1792;18848;2029688;21774;NA;3458424;1670;NA;NA;127;NA;NA;16431
Belgium;2015;5623579;2120228;19;3460776;630;2871;42575;2091327;28901;NA;3457526;3250;NA;NA;127;NA;NA;38928
Belgium;2016;5712061;2238772;19;3429222;1174;4368;44061;2199038;39734;NA;3424592;4630;NA;NA;124;NA;NA;38500
Belgium;2017;5785447;2393711;23;3344412;2121;8552;47324;2335349;58362;NA;3339034;5378;NA;NA;117;NA;NA;36511
Belgium;2018;5853782;2600049;16;3199563;5905;9244;54170;2518942;81107;NA;3193658;5905;NA;NA;115;NA;NA;38890
Bulgaria;2012;2807000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bulgaria;2013;2910235;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bulgaria;2014;3013863;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bulgaria;2015;3162037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bulgaria;2016;3143568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bulgaria;2017;2770615;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bulgaria;2018;2773325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Czech Rep.;2012;4706000;3216000;NA;1483000;NA;NA;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7000
Czech Rep.;2013;4729185;3196233;41;1525690;NA;237;7262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6984
Czech Rep.;2014;4833386;3189890;51;1631014;NA;417;12482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12014
Czech Rep.;2015;5115316;3292863;56;1807953;NA;713;14500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13731
Czech Rep.;2016;5307808;3337837;47;1954086;NA;974;15885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14864
Czech Rep.;2017;5538222;3422845;47;2097056;NA;1525;18321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16749
Czech Rep.;2018;5747913;3514937;49;2214201;NA;2482;18775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16244
Denmark;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Denmark;2013;2278121;1623238;7;653290;19;1536;1593;1623238;NA;0;653290;NA;NA;0;NA;NA;NA;31
Denmark;2014;2329578;1639695;10;686869;58;2919;3014;1639695;NA;0;686869;NA;NA;0;NA;NA;NA;27
Denmark;2015;2390823;1667177;9;715628;58;7888;8018;1666621;NA;556;715628;NA;NA;55;NA;NA;NA;8
Denmark;2016;2465538;1702651;4;754054;93;8662;8833;1701550;NA;1101;754054;NA;NA;69;NA;NA;NA;5
Denmark;2017;2530047;1738203;4;782859;127;8765;8985;1736427;NA;1776;782859;NA;NA;84;NA;NA;NA;5
Denmark;2018;2594469;1771711;4;812502;130;10037;10256;1766543;NA;5168;812502;NA;NA;83;NA;NA;NA;2
Germany;2012;43431000;30206000;495000;12579000;76000;7000;646000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68000
Germany;2013;43851000;29956000;501000;13215000;79000;12000;680000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88000
Germany;2014;44403000;29838000;494000;13861000;81000;19000;704000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;110000
Germany;2015;45071000;29825000;476000;14532000;80000;26000;714000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;132047
Germany;2016;45803560;29978635;448025;15089392;77187;34022;735533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;176299
Germany;2017;46474594;30451268;421283;15225296;75459;53861;787313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;247427
Germany;2018;47095784;31031021;395592;15153364;80776;83175;817779;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;351856
Estonia;2012;602100;424300;0;177200;0;600;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Estonia;2013;628565;426366;2;201372;117;708;827;424944;1422;NA;201363;9;NA;NA;NA;NA;NA;0
Estonia;2014;652950;429002;2;222646;233;1067;1302;427114;1888;NA;222632;14;NA;NA;NA;NA;NA;NA
Estonia;2015;676596;434041;2;241054;383;1116;1501;431632;2409;NA;241037;17;NA;NA;NA;NA;NA;NA
Estonia;2016;703151;443083;3;258436;473;1156;1632;439704;3379;NA;258413;23;NA;NA;NA;NA;NA;NA
Estonia;2017;725944;449349;3;274839;562;1191;1756;444701;4648;NA;274797;42;NA;NA;NA;NA;NA;NA
Estonia;2018;746464;452958;3;291597;652;1254;1909;446759;6199;NA;291452;145;NA;NA;NA;NA;NA;NA
Ireland;2012;1951130;1266760;0;667470;10;270;16900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16620
Ireland;2013;1984550;1223430;NA;743290;10;280;17830;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17540
Ireland;2014;2018310;1171220;NA;827680;10;560;19410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18840
Ireland;2015;2060170;1120410;NA;917690;0;1120;21800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20680
Ireland;2016;2102720;1052220;NA;1024270;0;1700;26220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24520
Ireland;2017;2142390;980610;NA;1127170;0;2770;34610;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31840
Ireland;2018;2182920;922660;NA;1210990;0;4610;44660;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44660
Greece;2012;5167557;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Greece;2013;5124208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Greece;2014;5110873;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Greece;2015;5107620;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Greece;2016;5160056;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Greece;2017;5235928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Greece;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Spain;2012;22248000;10305000;NA;11938000;NA;NA;5000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Spain;2013;22025000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Spain;2014;22029512;9718378;1971;12303075;176;2832;8059;9663658;54362;358;12302003;1053;19;2;NA;60;NA;3018
Spain;2015;22355549;9696611;4792;12645648;398;5243;13290;9635303;60911;397;12644560;1061;27;2;NA;64;NA;2791
Spain;2016;22876830;9819154;12920;13032515;1192;8411;25161;9711929;106752;473;13031262;1216;37;4;NA;59;NA;2575
Spain;2017;23500401;10091031;17764;13371064;2430;15318;38306;9929756;160479;796;13369620;1392;52;8;NA;57;NA;2729
Spain;2018;24074151;10497405;36047;13505356;6480;26083;71390;10262812;232497;2096;13502689;2595;72;20;NA;54;NA;2706
France;2012;32132000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
France;2013;32858000;10241000;0;22381000;0;18000;236000;10135000;105000;NA;22357000;25000;NA;0;28000;NA;186000;3000
France;2014;32531000;9750000;NA;22551000;NA;27000;230000;9613000;137000;NA;22516000;34000;NA;NA;28000;NA;172000;3000
France;2015;32326000;9540000;NA;22548000;NA;43000;239000;9363000;177000;NA;22494000;53000;NA;NA;29000;NA;164000;2000
France;2016;32076000;9585000;0;22239000;0;63000;251000;9359000;226000;NA;22180000;59000;NA;0;29000;NA;156000;2000
France;2017;32005986;9962372;197;21774999;389;86570;268615;9658479;303893;NA;21715084;59915;NA;73;30096;NA;149446;1844
France;2018;32034000;10674000;197;21068000;389;115000;292000;10269000;405000;NA;21006000;62000;NA;73;31000;NA;143000;2000
Croatia;2012;1445000;849000;49000;547000;0;0;49000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Croatia;2013;1448000;834000;51000;563000;NA;NA;51000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Croatia;2014;1474000;814000;52000;607000;NA;NA;53000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000
Croatia;2015;1499802;793531;31;650007;NA;163;56264;793531;NA;NA;650007;NA;NA;NA;NA;2;54742;1326
Croatia;2016;1552904;780226;49;711886;3;233;60792;780226;NA;NA;711886;NA;NA;1;1;2;58670;1833
Croatia;2017;1596087;765062;45;767666;3;285;63359;765062;NA;NA;767666;NA;NA;1;2;2;60535;2486
Croatia;2018;1666413;756203;53;844546;5;461;65664;756203;NA;NA;844546;NA;NA;1;2;2;61627;3513
Italy;2012;37078000;19744000;1862000;14744000;720000;NA;2590000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8000
Italy;2013;36963000;19304000;1944000;14932000;774000;4500;2769000;19264000;41000;NA;14930;2000;NA;NA;NA;NA;NA;6000
Italy;2014;37080753;18955087;2042120;15240069;833668;3430;2885597;18895138;59949;123;15237608;2461;78;NA;NA;NA;NA;6379
Italy;2015;37351233;18650786;2137078;15669276;883190;4584;3031171;18568405;82381;839;15666309;2967;52;NA;NA;NA;NA;6319
Italy;2016;37876138;18477538;2211368;16263957;911246;5743;3134643;18360105;117433;1718;16260625;3332;121;NA;NA;NA;NA;6286
Italy;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Italy;2018;39018170;18323181;2409840;17321593;945184;12156;3373396;18083402;239779;NA;17316888;4705;NA;NA;NA;NA;NA;6216
Cyprus;2012;475000;425000;0;49000;0;1000;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Cyprus;2013;474561;424068;0;50478;0;6;6;422248;1820;0;50478;0;0;0;0;0;0;0
Cyprus;2014;478492;423607;0;54870;0;15;15;421516;2091;0;54870;0;0;0;0;0;0;0
Cyprus;2015;487692;427077;0;60592;0;23;23;424656;2421;0;60592;0;0;0;0;0;0;0
Cyprus;2016;508284;437807;0;70264;0;40;213;434685;3122;0;70264;0;0;0;0;0;0;173
Cyprus;2017;526617;442623;0;83505;0;87;489;438205;4418;0;83505;0;0;0;0;0;0;402
Cyprus;2018;550695;450682;0;99381;0;114;632;444641;6041;0;99381;0;0;0;0;0;0;518
Latvia;2012;618270;373850;0;244410;0;10;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Latvia;2013;634600;361600;5;272980;5;15;20;361597;3;0;272980;0;0;0;0;0;0;0
Latvia;2014;657799;300128;0;305612;51871;188;52059;300124;4;0;305612;0;0;0;0;0;0;0
Latvia;2015;679048;287301;0;337453;54083;211;54294;287289;12;0;337453;0;0;0;0;0;0;0
Latvia;2016;664177;256406;7297;355043;81;241;52728;256379;27;0;355043;0;0;0;0;0;0;45109
Latvia;2017;689536;248982;13128;387996;146;312;52558;248926;56;0;387995;1;0;0;0;0;0;38972
Latvia;2018;707841;238290;17749;418232;177;442;51319;238207;83;0;418226;6;0;0;0;0;0;32951
Lithuania;2012;1753407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lithuania;2013;1808982;749962;NA;752511;NA;NA;306509;748833;0;1129;NA;NA;NA;NA;NA;NA;NA;NA
Lithuania;2014;1205668;344317;NA;721154;28;70;140197;341390;0;2927;721151;NA;3;NA;NA;NA;NA;140099
Lithuania;2015;1244063;325309;NA;783606;38;169;135148;321394;0;3915;783602;0;4;NA;NA;NA;NA;134941
Lithuania;2016;1298737;321592;NA;847326;50;358;129819;315930;0;5662;847310;NA;16;NA;NA;NA;NA;129411
Lithuania;2017;1356987;327818;NA;907246;71;619;121923;319228;0;8590;907214;NA;32;NA;NA;NA;NA;121233
Lithuania;2018;1430520;345422;NA;968045;98;965;117053;331314;0;14108;968045;NA;0;NA;NA;NA;NA;115990
Luxembourg;2012;355900;120700;100;233000;NA;100;2100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1900
Luxembourg;2013;363247;123676;289;238608;109;263;963;122019;1657;NA;NA;NA;NA;NA;NA;NA;NA;302
Luxembourg;2014;372827;126923;308;244530;135;524;1374;124916;2007;NA;NA;NA;NA;NA;NA;NA;NA;407
Luxembourg;2015;381103;130812;326;248770;144;580;1521;128546;2266;NA;NA;NA;NA;NA;NA;NA;NA;471
Luxembourg;2016;390935;138037;293;251026;141;685;1872;135557;2480;NA;NA;NA;NA;NA;NA;NA;NA;753
Luxembourg;2017;403282;151045;271;249284;171;996;2953;147991;3054;NA;NA;NA;NA;NA;NA;NA;NA;1515
Luxembourg;2018;415145;167455;316;244718;140;1360;2972;162564;4891;NA;NA;NA;NA;NA;NA;NA;NA;1117
Hungary;2012;2986030;2279360;NA;683260;NA;90;19040;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18950
Hungary;2013;3040732;2272281;10;740114;440;110;28337;2272281;0;0;740114;0;0;0;0;0;22031;5746
Hungary;2014;3107695;2266199;12;809523;696;175;31973;2266199;0;0;809523;0;0;0;0;0;24259;6831
Hungary;2015;3196856;2272447;17;888874;834;342;35535;2272447;0;0;888874;0;0;0;0;5;25532;8805
Hungary;2016;3313206;2301168;16;970997;925;758;41041;2301168;0;0;970997;0;0;0;0;6;26641;12695
Hungary;2017;3471997;2365797;16;1055268;1054;1996;50932;2365797;0;0;1055268;0;0;0;0;2;27652;20212
Hungary;2018;3641823;2445468;17;1131685;1104;3839;64670;2445468;0;0;1131685;0;0;0;0;1;28394;31315
